Name,Description,Skill Area,Drill Type,Scoring Mode,Input Mode,Metric Schema,Grid Type,Subskill Mapping,Club Selection Mode,Target Distance Mode,Target Distance Value,Target Size Mode,Target Size Width,Target Size Depth,Required Set Count,Required Attempts Per Set,Anchors (JSON)
Proximity Ring Drill,"Place a towel or ring at your target carry distance. Hit 10 shots and record whether each lands short, on, or long of the target. Trains feel for a single yardage with immediate feedback on each shot.",Irons,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""irons_distance_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,10,,1,10,"{""irons_distance_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Ladder Distance Drill,"Set three targets at short, mid, and long iron carry distances. Hit three shots to each target in sequence, recording short, on, or long for each. Trains yardage gapping and feel across the iron set.",Irons,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""irons_distance_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,10,,1,10,"{""irons_distance_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Flag Hunt Drill,"Select a flag on the range as your target. Hit 10 shots and record whether each carries short, on, or long of the flag. Simulates a real on-course distance control scenario.",Irons,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""irons_distance_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,10,,1,10,"{""irons_distance_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Distance Band Drill,"Define a 10-yard deep landing band using two alignment sticks on the range. Hit 10 shots and record whether each lands short, in, or long of the band. Trains precise carry control under a defined tolerance.",Irons,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""irons_distance_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,10,,1,10,"{""irons_distance_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Yardage Checkpoint Drill,"Pick three different yardages and hit two shots to each without changing your aim point between shots. Record short, on, or long for each. Trains repeatability at known distances.",Irons,Transition,Shared,GridCell,grid_1x3_distance,OneByThree,"[""irons_distance_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,10,,1,10,"{""irons_distance_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Gate Drill,"Place two alignment sticks 10 feet in front of the ball, spaced just wider than the club head. Hit 10 shots and record whether each starts left, straight, or right of the gate. Trains a consistent, on-plane swing path.",Irons,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""irons_direction_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,7,,1,10,"{""irons_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Corridor Drill,"Define a left and right boundary on the range using range markers or flags. Hit 10 shots and record whether each lands left, in, or right of the corridor. Trains directional discipline and shot dispersion awareness.",Irons,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""irons_direction_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,7,,1,10,"{""irons_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
9-Shot Drill,"Hit nine shots in a structured sequence: low draw, low straight, low fade, mid draw, mid straight, mid fade, high draw, high straight, high fade. Record left, straight, or right for each. Trains full directional command.",Irons,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""irons_direction_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,7,,1,10,"{""irons_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Alignment Station Drill,"Set up a full alignment station with one stick on the target line and one on the foot line. Hit 10 shots and record whether each starts left, straight, or right of the target line. Trains alignment awareness and consistent start direction.",Irons,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""irons_direction_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,7,,1,10,"{""irons_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Two-Stick Direction Drill,"Place two sticks on the ground to frame the ball-to-target line. Hit 10 shots, recording whether each ball starts left, straight, or right of target. Trains awareness of face angle and path relationship.",Irons,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""irons_direction_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,7,,1,10,"{""irons_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Draw Drill,Set up with a closed stance and swing along the foot line to promote an in-to-out path. Hit 10 shots and score a pass for each that shows a right-to-left ball flight. Trains intentional draw shape.,Irons,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""irons_shape_control""]",UserLed,,,,,,1,10,"{""irons_shape_control"": {""Min"": 20, ""Scratch"": 50, ""Pro"": 70}}"
Fade Drill,Set up with an open stance and swing along the foot line to promote an out-to-in path. Hit 10 shots and score a pass for each that shows a left-to-right ball flight. Trains intentional fade shape.,Irons,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""irons_shape_control""]",UserLed,,,,,,1,10,"{""irons_shape_control"": {""Min"": 20, ""Scratch"": 50, ""Pro"": 70}}"
Shot Shape Circuit,Alternate between an intentional draw and an intentional fade on each shot for 10 shots total. Score a pass for each shot that matches the intended shape. Trains the ability to switch ball flight on demand.,Irons,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""irons_shape_control""]",UserLed,,,,,,1,10,"{""irons_shape_control"": {""Min"": 20, ""Scratch"": 50, ""Pro"": 70}}"
Carry Distance Benchmark,Hit 10 drives and record the carry distance of each. Your score is the average carry across all 10 shots. Establishes a baseline carry benchmark for tracking improvement over time.,Driving,Transition,Shared,RawDataEntry,raw_carry_distance,,"[""driving_distance_maximum""]",,,,,,,1,10,"{""driving_distance_maximum"": {""Min"": 200, ""Scratch"": 260, ""Pro"": 300}}"
Power Drive Test,Hit 10 drives with maximum effort and record each carry distance. Score is the average of all 10. Trains consistent access to maximum power output with driver.,Driving,Transition,Shared,RawDataEntry,raw_carry_distance,,"[""driving_distance_maximum""]",,,,,,,1,10,"{""driving_distance_maximum"": {""Min"": 200, ""Scratch"": 260, ""Pro"": 300}}"
Distance Challenge,Pick a carry target on the range representing your distance goal. Hit 10 drives and record each carry. Tracks whether you can produce your target carry distance under mild performance pressure.,Driving,Transition,Shared,RawDataEntry,raw_carry_distance,,"[""driving_distance_maximum""]",,,,,,,1,10,"{""driving_distance_maximum"": {""Min"": 200, ""Scratch"": 260, ""Pro"": 300}}"
Speed Sequence Drill,"Hit 10 drives in a sequence of slow, medium, and fast effort swings, recording carry distance for each. Trains awareness of how swing speed changes affect carry output.",Driving,Transition,Shared,RawDataEntry,raw_carry_distance,,"[""driving_distance_maximum""]",,,,,,,1,10,"{""driving_distance_maximum"": {""Min"": 200, ""Scratch"": 260, ""Pro"": 300}}"
Fairway Finder Drill,"Define a fairway width using two range markers or alignment sticks. Hit 10 drives and record whether each lands left, in, or right of the fairway. Simulates hitting a regulation fairway under performance conditions.",Driving,Transition,Shared,GridCell,grid_3x1_direction,ThreeByOne,"[""driving_direction_control""]",,,,PercentageOfTargetDistance,10,,1,10,"{""driving_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
